datum	kezdo	zaro
2017.09.01	38086	37719,8984
2017.09.04	37707,3906	37465,2617
2017.09.05	37471,5117	37736,1016
2017.09.06	37723,5898	37878,8594
2017.09.07	37878,8594	37783,5117
2017.09.08	37764,7383	37596,75
2017.09.11	37615,5117	37895,8516
2017.09.12	37889,6016	38076,8789
2017.09.13	38089,1406	38119,0898
2017.09.14	38119,2617	38243,1992
2017.09.15	38243,7188	38325,9297
2017.09.18	38325,3086	38387,2188
2017.09.19	38387,2188	38176,0781
2017.09.20	38173,2109	38108,0391
2017.09.21	38107,2617	38109,2109
2017.09.22	38110,4609	38178,6289
2017.09.25	38121,9102	38107,8711
2017.09.26	38127,25	37319,2383
2017.09.27	37360,8398	37244,3008
2017.09.28	37282,1094	37191,6484
2017.09.29	37192,1484	37290,6484
