id;testsuly;testmagassag;eletkor
486;;172;61
487;51;157;50
488;124;186;94
489;86;164;66
490;85;179;33
491;93;167;78
492;104;183;70
493;81;176;46
494;101;178;62
495;86;169;73
496;76;166;32
497;87;171;66
498;81;167;45
499;112;195;73
500;84;160;86
501;103;180;94
502;105;175;88
503;102;173;95
504;72;164;53
505;95;173;80
506;90;168;75
507;90;175;0
508;77;178;54
509;97;161;93
510;99;182;39
511;94;167;84
512;85;174;0
513;86;176;28
514;99;174;78
515;81;169;-10
516;79;165;26
517;82;167;30
518;97;186;47
519;72;161;59
520;75;163;43
521;87;162;95
522;81;171;33
523;68;155;24
524;83;156;95
525;81;167;45
526;75;157;58
527;69;158;24
528;53;157;23
529;85;162;88
530;99;177;70
531;96;180;150
532;104;189;57
533;91;189;38
534;89;178;26
535;98;180;71
536;68;171;38
537;97;175;83
538;98;189;31
539;75;174;51
540;94;182;77
541;81;161;52
542;92;163;74
543;95;173;63
544;85;171;63
545;65;164;0
546;104;194;33
547;96;2;72
548;90;166;69
549;94;172;87
550;80;170;30
551;102;172;93
552;66;154;40
553;104;183;57
554;112;183;83
555;104;185;63
556;95;177;55
557;73;161;52
558;84;173;26
559;73;165;34
560;90;179;32
561;94;171;69
562;;174;49
563;83;160;72
564;94;182;23
565;82;161;53
566;68;163;3
567;87;171;40
568;102;181;87
569;85;181;0
570;83;170;48
571;89;178;40
572;72;153;77
573;75;163;50
574;68;163;36
575;89;183;36
576;78;177;69
577;80;172;52
578;85;173;42
579;96;186;21
580;74;157;31
581;101;181;58
582;93;172;54
583;88;180;39
584;101;170;89
585;65;162;29
586;;174;32
587;77;170;19
588;77;172;8
589;109;186;97
590;78;159;77
591;85;173;31
592;6;162;30
593;53;144;23
594;91;170;96
595;84;176;47
596;84;0;45
597;72;155;46
598;112;183;88
599;76;162;44
600;96;186;43
601;84;10;27
602;74;167;56
603;80;163;51
604;93;180;67
605;90;168;73
606;67;155;47
607;95;176;52
608;84;174;38
609;93;181;44
610;101;173;79
611;86;165;65
612;100;183;54
613;107;184;71
614;93;171;62
615;71;157;37
616;83;164;79
617;82;178;20
618;90;164;86
619;84;155;98
620;122;205;52
621;67;155;68
622;124;333;86
623;73;167;42
624;79;169;23
625;299;;63
626;81;156;67
627;86;152;81
628;106;186;50
629;65;162;0
630;106;177;78
631;81;159;69
632;106;177;95
633;89;187;31
634;89;165;55
635;72;151;85
636;118;187;77
637;85;179;35
638;86;165;93
639;0;168;43
640;68;159;64
641;86;165;58
642;65;156;41
643;77;172;40
644;97;161;86
645;7;160;60
646;79;166;63
647;105;171;89
648;68;156;0
649;103;184;65
650;100;177;62
651;92;166;64
652;70;161;44
653;79;169;40
654;97;179;41
655;111;177;83
656;112;181;96
657;67;165;22
658;71;141;67
659;88;182;26
660;71;168;31
661;97;177;62
662;113;187;61
663;123;194;81
664;68;164;8
665;87;184;33
666;84;162;65
667;69;164;58
668;90;164;92
669;93;170;72
670;91;168;96
671;91;164;83
672;61;160;0
673;105;178;59
674;93;183;0
675;107;185;82
676;77;165;42
677;80;179;0
678;83;172;42
679;92;164;89
680;83;177;33
681;61;164;9
682;93;166;78
683;88;156;96
684;69;165;25
685;100;173;75
686;104;186;71
687;83;166;51
688;90;160;88
689;111;185;87
690;79;165;39
691;72;153;72
692;92;171;73
693;67;167;0
694;111;193;72
695;79;175;39
696;80;169;64
697;68;161;31
698;90;173;60
699;91;185;27
700;81;173;29
701;69;162;150
702;97;175;65
703;94;170;67
704;88;;56
705;88;166;92
706;70;166;29
707;81;166;59
708;93;179;50
709;73;166;36
710;77;165;59
711;61;161;9
712;87;175;40
713;92;173;53
714;81;166;62
715;74;163;43
716;109;189;84
717;78;151;89
718;90;175;65
719;90;183;46
720;30;136;22
721;88;178;39
722;82;168;43
723;81;173;26
724;94;167;45
725;85;181;9
726;82;174;46
727;98;171;91
728;78;1;85
729;112;189;80
730;93;170;91
731;123;193;84
732;108;189;71
733;62;152;34
734;79;163;61
735;95;160;90
736;91;170;77
737;91;172;-8
738;89;172;41
739;110;181;91
740;92;185;39
741;92;180;36
742;70;164;50
743;69;162;27
744;89;170;49
745;280;174;21
746;88;168;89
747;77;157;70
748;88;177;61
749;95;166;98
750;82;;26
751;77;168;37
752;68;166;34
753;87;169;36
754;89;177;46
755;96;173;82
756;82;179;47
757;84;163;40
758;77;157;38
759;102;168;77
760;73;164;32
761;71;165;37
762;89;172;82
763;85;165;43
764;67;157;51
765;72;164;23
766;74;173;0
767;83;177;32
768;81;177;28
769;94;174;76
770;70;168;33
771;109;189;84
772;93;180;67
773;85;165;43
774;;205;52
775;92;185;28
776;88;182;26
777;70;164;50
778;51;157;30
779;77;165;59
780;65;156;41
